Item,Qty,Exact spec,Where to buy,Est. cost (USD),Notes
ScreenKey module,6,Waveshare 0.85inch ScreenKey Module B (SKU 34168),waveshare.com,~$66 ($11 ea),Includes the cable and brass standoffs. Buy Module B (black cap + switch + PCB)
Carrier PCB,1,59.5 x 108.5 mm Rev E 2-layer; files in hardware/pcb/gerbers,JLCPCB / PCBWay,~$15 for 5 boards,Upload data_streamdeck_gerbers.zip. SMT assembly recommended (IMU ALS LEDs haptic). Parts in hardware/pcb/bom.csv
Printed: bottom tray,1,hardware/enclosure/stl/deck_bottom_v14.stl,Your 3D printer,~$1 filament,PETG or PLA+; flat on bed; no supports. LED windows + SD + USB + Qwiic
Printed: top shell,1,hardware/enclosure/stl/deck_top_v14.stl,Your 3D printer,~$1 filament,Face-down; no supports. ALS light-pipe hole
Printed: corner spacers,4,hardware/enclosure/stl/corner_spacers_x4_v14.stl,Your 3D printer,pennies,100% infill; replaces the factory standoff at the 4 deck corners
Printed: desk stand,1,hardware/enclosure/stl/deck_stand_v14.stl,Your 3D printer,~$1 filament,Optional 25 degree stand
Heat-set insert M2,4,Ruthex RX-M2x4 brass (3.2 mm install hole),Amazon "ruthex M2",~$8 per 50-pack,Goes into the top shell face plate
Screw M2x25 countersunk,4,M2 x 25 mm flat head countersunk DIN 965 (Phillips) or ISO 14581 (Torx) A2,Amazon / AliExpress "M2x25 DIN 965",~$6 assorted box,The 4 case screws. Heads sink into the foot recesses and are hidden by the rubber feet
Screw M2x5,12,M2 x 5 mm hex socket cap ISO 4762 / DIN 912 A2,Same assorted box as above,included,Fixes modules to the carrier from below
Rubber feet,8,10 mm dia x 2 mm self-adhesive,Amazon,~$5 per sheet,4 on the deck + 4 on the stand
LRA coin motor,1,8 mm LRA (e.g. Vybronics VG0832013D),Digi-Key / LCSC,~$2,Optional — plugs into J10. On-board piezo still beeps without it
microSD card,1,8-32 GB; FAT32,Anywhere,~$5,Optional - on-device icons and animations
USB-C cable,1,USB 2.0 data cable,You own one,-,Deck to computer
