Comment,Designator,Footprint,LCSC Part #
100nF 50V X7R 0402,"C1,C2,C3,C4,C5,C6,C9,C10",C_0402_1005Metric,C1525
1uF 16V X5R 0402,C11,C_0402_1005Metric,C52923
10uF 25V X5R 0805,"C7,C8",C_0805_2012Metric,C15850
10kOhm 0402,"R1,R2,R3,R4,R5,R6,R9",R_0402_1005Metric,C25744
5.1kOhm 0402,"R7,R8",R_0402_1005Metric,C25905
ESP32-S3-WROOM-1-N16R8,U1,ESP32-S3-WROOM-1,C2913202
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
USBLC6-2SC6,U3,SOT-23-6,C7519
USB4105-GF-A,J7,USB_C_Receptacle_GCT_USB4105,C3020560
DM3D-SF,J8,microSD_HC_Hirose_DM3D-SF,C719027
KMR221GLFS,"SW1,SW2",SW_Push_1P1T_NO_CK_KMR2,C72443
Molex PicoBlade 53261-0971 9P horizontal,"J1,J2,J3,J4,J5,J6",Molex_PicoBlade_53261-0971_1x09,
