Designator,Mid X,Mid Y,Layer,Rotation
BZ1,29.75mm,-84.5mm,Top,0.0
C1,9.25mm,-13.95mm,Top,90.0
C10,34.5mm,-47.5mm,Top,0.0
C11,31.5mm,-47.5mm,Top,0.0
C12,35.2mm,-72.4mm,Top,90.0
C13,17.0mm,-72.4mm,Top,90.0
C14,19.8mm,-107.2mm,Top,0.0
C15,28.0mm,-72.4mm,Top,90.0
C16,18.6mm,-9.6mm,Top,90.0
C17,23.6mm,-5.6mm,Top,90.0
C2,50.25mm,-13.95mm,Top,90.0
C3,9.25mm,-50.25mm,Top,90.0
C4,39.9mm,-56.49mm,Top,180.0
C5,9.25mm,-86.55mm,Top,90.0
C6,50.25mm,-86.55mm,Top,90.0
C7,17.4mm,-6.5mm,Top,90.0
C8,3.6mm,-10.8mm,Top,90.0
C9,25.5mm,-47.5mm,Top,0.0
D1,3.0mm,-17.95mm,Top,90.0
D2,56.5mm,-17.95mm,Top,270.0
D3,3.0mm,-54.25mm,Top,90.0
D4,56.5mm,-54.25mm,Top,270.0
D5,3.0mm,-90.55mm,Top,90.0
D6,56.5mm,-90.55mm,Top,270.0
D7,20.5mm,-1.8mm,Top,0.0
D8,38.0mm,-1.8mm,Top,0.0
J1,13.25mm,-17.95mm,Top,90.0
J10,41.5mm,-72.4mm,Top,270.0
J2,46.25mm,-17.95mm,Top,270.0
J3,13.25mm,-54.25mm,Top,90.0
J4,46.25mm,-54.25mm,Top,270.0
J5,13.25mm,-90.55mm,Top,90.0
J6,46.25mm,-90.55mm,Top,270.0
J7,29.75mm,-3.1mm,Top,180.0
J8,52.0mm,-72.4mm,Top,90.0
J9,49.0mm,-3.1mm,Top,180.0
R1,9.25mm,-21.95mm,Top,270.0
R10,29.75mm,-78.3mm,Top,0.0
R2,50.25mm,-21.95mm,Top,270.0
R3,9.25mm,-58.25mm,Top,270.0
R4,50.25mm,-58.25mm,Top,270.0
R5,9.25mm,-94.55mm,Top,270.0
R6,50.25mm,-94.55mm,Top,270.0
R7,34.0mm,-9.5mm,Top,270.0
R8,25.5mm,-9.5mm,Top,270.0
R9,28.5mm,-47.5mm,Top,0.0
SW1,42.5mm,-105.2mm,Top,0.0
SW2,49.0mm,-105.2mm,Top,0.0
U1,29.75mm,-36.1mm,Top,90.0
U2,11.4mm,-4.7mm,Top,0.0
U3,29.75mm,-9.8mm,Top,0.0
U4,20.5mm,-72.4mm,Top,0.0
U5,29.75mm,-106.6mm,Top,180.0
U6,31.5mm,-72.4mm,Top,0.0
U7,21.4mm,-8.8mm,Top,0.0
